icd,cc,version,year
C4092,10,10,2016
C410,10,10,2016
C411,10,10,2016
C412,10,10,2016
C413,10,10,2016
C414,10,10,2016
C419,10,10,2016
C430,12,10,2016
C4310,12,10,2016
C4311,12,10,2016
C4312,12,10,2016
C4320,12,10,2016
C4321,12,10,2016
C4322,12,10,2016
C4330,12,10,2016
C4331,12,10,2016
C4339,12,10,2016
C434,12,10,2016
C4351,12,10,2016
C4352,12,10,2016
C4359,12,10,2016
C4360,12,10,2016
C4361,12,10,2016
C4362,12,10,2016
C4370,12,10,2016
C4371,12,10,2016
C4372,12,10,2016
C438,12,10,2016
C439,12,10,2016
C450,9,10,2016
C451,9,10,2016
C452,9,10,2016
C457,9,10,2016
C459,9,10,2016
C460,10,10,2016
C461,10,10,2016
C462,10,10,2016
C463,10,10,2016
C464,10,10,2016
C4650,10,10,2016
C4651,10,10,2016
C4652,10,10,2016
C467,10,10,2016
C469,10,10,2016
C470,10,10,2016
C4710,10,10,2016
C4711,10,10,2016
C4712,10,10,2016
C4720,10,10,2016
C4721,10,10,2016
C4722,10,10,2016
C473,10,10,2016
C474,10,10,2016
C475,10,10,2016
C476,10,10,2016
C478,10,10,2016
C479,10,10,2016
C480,9,10,2016
C481,9,10,2016
C482,9,10,2016
C488,9,10,2016
C490,10,10,2016
C4910,10,10,2016
C4911,10,10,2016
C4912,10,10,2016
C4920,10,10,2016
C4921,10,10,2016
C4922,10,10,2016
C493,10,10,2016
C494,10,10,2016
C495,10,10,2016
C496,10,10,2016
C498,10,10,2016
C499,10,10,2016
C4A0,12,10,2016
C4A10,12,10,2016
C4A11,12,10,2016
C4A12,12,10,2016
C4A20,12,10,2016
C4A21,12,10,2016
C4A22,12,10,2016
C4A30,12,10,2016
C4A31,12,10,2016
C4A39,12,10,2016
C4A4,12,10,2016
C4A51,12,10,2016
C4A52,12,10,2016
C4A59,12,10,2016
C4A60,12,10,2016
C4A61,12,10,2016
C4A62,12,10,2016
C4A70,12,10,2016
C4A71,12,10,2016
C4A72,12,10,2016
C4A8,12,10,2016
C4A9,12,10,2016
C50011,12,10,2016
C50012,12,10,2016
C50019,12,10,2016
C50021,12,10,2016
C50022,12,10,2016
C50029,12,10,2016
C50111,12,10,2016
C50112,12,10,2016
C50119,12,10,2016
C50121,12,10,2016
C50122,12,10,2016
C50129,12,10,2016
C50211,12,10,2016
C50212,12,10,2016
C50219,12,10,2016
C50221,12,10,2016
