icd,cc,version,year
A0103,115,10,2017
A0104,39,10,2017
A0105,39,10,2017
A021,2,10,2017
A0222,115,10,2017
A0223,39,10,2017
A0224,39,10,2017
A065,115,10,2017
A072,6,10,2017
A202,115,10,2017
A207,2,10,2017
A212,115,10,2017
A221,115,10,2017
A227,2,10,2017
A267,2,10,2017
A310,6,10,2017
A312,6,10,2017
A327,2,10,2017
A3681,85,10,2017
A391,23,10,2017
A392,2,10,2017
A393,2,10,2017
A394,2,10,2017
A3983,39,10,2017
A3984,39,10,2017
A400,2,10,2017
A401,2,10,2017
A403,2,10,2017
A408,2,10,2017
A409,2,10,2017
A4101,2,10,2017
A4102,2,10,2017
A411,2,10,2017
A412,2,10,2017
A413,2,10,2017
A414,2,10,2017
A4150,2,10,2017
A4151,2,10,2017
A4152,2,10,2017
A4153,2,10,2017
A4159,2,10,2017
A4181,2,10,2017
A4189,2,10,2017
A419,2,10,2017
A420,115,10,2017
A427,2,10,2017
A430,115,10,2017
A480,106,10,2017
A481,114,10,2017
A483,2,10,2017
A5055,39,10,2017
A5440,39,10,2017
A5441,39,10,2017
A5442,39,10,2017
A5443,39,10,2017
A5449,39,10,2017
A5484,115,10,2017
A5485,33,10,2017
A5486,2,10,2017
A666,39,10,2017
A6923,39,10,2017
B007,2,10,2017
B0082,72,10,2017
B0112,72,10,2017
B0224,72,10,2017
B0682,39,10,2017
B180,29,10,2017
B181,29,10,2017
B182,29,10,2017
B188,29,10,2017
B189,29,10,2017
B20,1,10,2017
B250,6,10,2017
B251,6,10,2017
B252,6,10,2017
B258,6,10,2017
B259,6,10,2017
B2685,39,10,2017
B3324,85,10,2017
B371,6,10,2017
B377,2,10,2017
B377,6,10,2017
B3781,6,10,2017
B380,115,10,2017
B381,115,10,2017
B382,115,10,2017
B390,115,10,2017
B391,115,10,2017
B392,115,10,2017
B400,115,10,2017
B401,115,10,2017
B402,115,10,2017
B410,115,10,2017
B4282,39,10,2017
B440,6,10,2017
B441,6,10,2017
B442,6,10,2017
B447,6,10,2017
B4481,112,10,2017
B4489,6,10,2017
B449,6,10,2017
B450,6,10,2017
B451,6,10,2017
B452,6,10,2017
B453,6,10,2017
B457,6,10,2017
B458,6,10,2017
B459,6,10,2017
B460,6,10,2017
B461,6,10,2017
B462,6,10,2017
B463,6,10,2017
B464,6,10,2017
B465,6,10,2017
B468,6,10,2017
B469,6,10,2017
B484,6,10,2017
B488,6,10,2017
B582,6,10,2017
B583,6,10,2017
B59,6,10,2017
B664,115,10,2017
B671,115,10,2017
B9735,1,10,2017
C01,11,10,2017
C020,11,10,2017
C021,11,10,2017
C022,11,10,2017
C023,11,10,2017
C024,11,10,2017
C028,11,10,2017
C029,11,10,2017
C030,11,10,2017
C031,11,10,2017
C039,11,10,2017
C040,11,10,2017
C041,11,10,2017
C048,11,10,2017
C049,11,10,2017
C050,11,10,2017
C051,11,10,2017
C052,11,10,2017
C058,11,10,2017
C059,11,10,2017
C060,11,10,2017
C061,11,10,2017
C062,11,10,2017
C0680,11,10,2017
C0689,11,10,2017
C069,11,10,2017
C07,11,10,2017
C080,11,10,2017
C081,11,10,2017
C089,11,10,2017
C090,11,10,2017
C091,11,10,2017
C098,11,10,2017
C099,11,10,2017
C100,11,10,2017
C101,11,10,2017
C102,11,10,2017
C103,11,10,2017
C104,11,10,2017
C108,11,10,2017
C109,11,10,2017
C110,11,10,2017
C111,11,10,2017
C112,11,10,2017
C113,11,10,2017
C118,11,10,2017
C119,11,10,2017
C12,11,10,2017
C130,11,10,2017
C131,11,10,2017
C132,11,10,2017
C138,11,10,2017
C139,11,10,2017
C140,11,10,2017
C142,11,10,2017
C148,11,10,2017
C153,9,10,2017
C154,9,10,2017
C155,9,10,2017
C158,9,10,2017
C159,9,10,2017
C160,9,10,2017
C161,9,10,2017
C162,9,10,2017
C163,9,10,2017
C164,9,10,2017
C165,9,10,2017
C166,9,10,2017
C168,9,10,2017
C169,9,10,2017
C170,9,10,2017
C171,9,10,2017
C172,9,10,2017
C173,9,10,2017
C178,9,10,2017
C179,9,10,2017
C180,11,10,2017
C181,11,10,2017
C182,11,10,2017
C183,11,10,2017
C184,11,10,2017
C185,11,10,2017
C186,11,10,2017
C187,11,10,2017
C188,11,10,2017
C189,11,10,2017
C19,11,10,2017
C20,11,10,2017
C210,11,10,2017
C211,11,10,2017
C212,11,10,2017
C218,11,10,2017
C220,9,10,2017
C221,9,10,2017
C222,9,10,2017
C223,9,10,2017
C224,9,10,2017
C227,9,10,2017
C228,9,10,2017
C229,9,10,2017
C23,9,10,2017
C240,9,10,2017
C241,9,10,2017
C248,9,10,2017
C249,9,10,2017
C250,9,10,2017
