to_zero,cc
112,5
8,7
9,7
10,7
9,8
10,8
10,9
16,15
17,15
18,15
19,15
17,16
18,16
19,16
18,17
19,17
19,18
26,25
27,25
27,26
52,51
55,54
68,67
69,67
100,67
101,67
157,67
69,68
100,68
101,68
157,68
157,69
78,77
79,77
79,78
82,81
83,81
83,82
96,95
101,100
105,104
149,104
108,107
112,111
131,130
132,130
132,131
149,148
75,154
155,154
177,161
